exchange,market_type,db_symbol,lake_pair,freqtrade_pair
binance,spot,BNB/USDT,BNB-USDT,BNB/USDT
binance,spot,BTC/USDT,BTC-USDT,BTC/USDT
binance,spot,DOGE/USDT,DOGE-USDT,DOGE/USDT
binance,spot,ETH/USDT,ETH-USDT,ETH/USDT
binance,spot,SOL/USDT,SOL-USDT,SOL/USDT
binance,spot,XRP/USDT,XRP-USDT,XRP/USDT
binanceusdm,perp,BNB/USDT,BNB-USDT-PERP,BNB/USDT:USDT
binanceusdm,perp,BTC/USDT,BTC-USDT-PERP,BTC/USDT:USDT
binanceusdm,perp,DOGE/USDT,DOGE-USDT-PERP,DOGE/USDT:USDT
binanceusdm,perp,ETH/USDT,ETH-USDT-PERP,ETH/USDT:USDT
binanceusdm,perp,SOL/USDT,SOL-USDT-PERP,SOL/USDT:USDT
binanceusdm,perp,XRP/USDT,XRP-USDT-PERP,XRP/USDT:USDT
